ts_datetime,ts_frc,ts_wattemp,ts_cond,hh_datetime,hh_frc
2021-05-18T06:51:00,0.41,23.4,367,2021-05-18T13:07:00,0.35
2021-05-18T07:09:00,0.34,23.3,333,2021-05-18T13:22:00,0.17
2021-05-18T07:30:00,0.67,24,317,2021-05-18T13:36:00,0.54
2021-05-18T07:44:00,0.74,21.1,544,2021-05-18T13:11:00,0.15
2021-05-18T07:45:00,0.41,23.7,322,2021-05-18T13:48:00,0.1
2021-05-18T07:50:00,0.66,23.8,137.2,2021-05-18T13:07:00,0.03
2021-05-18T07:58:00,0.28,23.5,323,2021-05-18T13:59:00,0.12
2021-05-18T08:03:00,0.73,23,515,2021-05-18T13:13:00,0.01
2021-05-18T08:10:00,0.45,22.8,515,2021-05-18T13:21:00,0.38
2021-05-18T08:21:00,0.66,23.8,424,2021-05-18T14:15:00,0.26
2021-05-18T08:23:00,0.6,22.5,378,2021-05-18T11:02:00,0.6
2021-05-18T08:30:00,0.91,24.7,130.1,2021-05-18T13:35:00,0.72
2021-05-18T08:46:00,0.48,24.3,415,2021-05-19T08:18:00,0.2
2021-05-18T08:48:00,0.6,23.5,378,2021-05-18T11:08:00,0.1
2021-05-18T08:48:00,0.61,23.6,516,2021-05-18T13:31:00,0.03
2021-05-18T08:52:00,0.52,25.1,511,2021-05-19T08:27:00,0.03
2021-05-18T09:03:00,0.46,24.2,420,2021-05-19T08:38:00,0.39
2021-05-18T09:11:00,0.31,25.2,507,2021-05-18T14:01:00,0.28
2021-05-18T09:14:00,0.1,24.7,368,2021-05-18T13:58:00,0.1
2021-05-18T09:26:00,0.42,26.1,417,2021-05-19T08:55:00,0.34
2021-05-18T09:44:00,0.4,25.4,372,2021-05-18T14:01:00,0.1
2021-05-18T09:49:00,0.35,24.5,452,2021-05-19T09:15:00,0.1
2021-05-18T10:09:00,0.59,25.2,451,2021-05-19T09:25:00,0.43
2021-05-18T10:32:00,0.1,24.5,370,2021-05-18T14:34:00,0.1
2021-05-18T10:34:00,0.04,25.8,438,2021-05-19T09:49:00,0.03
2021-05-19T07:01:00,0.54,23.4,463,2021-05-19T13:20:00,0.25
2021-05-19T07:14:00,0.61,27.1,513,2021-05-19T14:12:00,0.06
2021-05-19T07:17:00,0.3,22.5,385,2021-05-19T13:32:00,0.04
2021-05-19T07:32:00,0.53,23.1,511,2021-05-19T14:37:00,0.33
2021-05-19T07:36:00,0.92,23.6,423,2021-05-19T13:51:00,0.4
2021-05-19T07:48:00,0.5,23.4,414,2021-05-19T14:06:00,0.36
2021-05-19T08:02:00,0.58,23,316,2021-05-19T14:53:00,0.38
2021-05-19T08:14:00,0.62,23,515,2021-05-19T14:52:00,0.46
2021-05-19T10:03:00,0.77,24,425,2021-05-20T08:58:00,0.36
2021-05-19T10:19:00,0.66,23.7,455,2021-05-20T09:12:00,0.09
2021-05-19T10:38:00,0.57,24.8,426,2021-05-20T09:38:00,0.56
2021-05-19T10:53:00,0.61,24.1,468,2021-05-20T09:54:00,0.12
2021-05-19T11:23:00,0.58,25.3,443,2021-05-20T10:13:00,0.4
2021-05-20T06:44:00,0.4,23.4,396,2021-05-20T13:21:00,0.3
2021-05-20T07:01:00,0.59,23.2,415,2021-05-20T13:35:00,0.16
2021-05-20T07:10:00,0.84,21.2,525,2021-05-20T14:06:00,0.38
2021-05-20T07:12:00,0.68,23.4,487,2021-05-20T13:48:00,0.57
2021-05-20T07:20:00,0.62,23.6,444,2021-05-20T13:49:00,0.21
2021-05-20T07:27:00,0.7,22.8,445,2021-05-20T13:59:00,0.56
2021-05-20T07:27:00,0.01,21.1,506,2021-05-20T13:42:00,0.01
2021-05-20T07:28:00,1.01,21.9,506,2021-05-20T14:17:00,0.93
2021-05-20T07:42:00,0.03,24.3,500,2021-05-20T13:47:00,0.01
2021-05-20T07:42:00,0.56,24,430,2021-05-20T14:12:00,0.54
2021-05-20T07:43:00,0.81,21.5,509,2021-05-20T14:27:00,0.33
2021-05-20T07:44:00,0.66,22.8,424,2021-05-20T14:14:00,0.35
2021-05-20T07:54:00,0.77,23.5,425,2021-05-20T14:25:00,0.57
2021-05-20T08:01:00,0.06,23.9,495,2021-05-20T13:54:00,0.01
2021-05-20T08:05:00,0.72,23.6,458,2021-05-20T14:26:00,0.43
2021-05-20T08:08:00,0.84,22.7,507,2021-05-20T14:43:00,0.79
2021-05-20T08:26:00,0.55,24,499,2021-05-21T07:28:00,0.13
2021-05-20T08:26:00,0.72,21.7,498,2021-05-20T16:05:00,0.29
2021-05-20T08:31:00,0.02,37.2,394,2021-05-20T14:31:00,0.01
2021-05-20T08:33:00,0.56,23.7,427,2021-05-20T14:37:00,0.15
2021-05-20T08:37:00,0.48,24.2,418,2021-05-21T07:45:00,0.23
2021-05-20T08:47:00,0.48,23.3,418,2021-05-20T16:52:00,0.46
2021-05-20T08:48:00,0.39,23.7,378,2021-05-21T08:00:00,0.27
2021-05-20T09:00:00,0.04,24.6,406,2021-05-20T14:25:00,0.03
2021-05-20T09:24:00,0.36,23.5,375,2021-05-21T08:14:00,0.13
2021-05-20T10:26:00,0.65,23.9,498,2021-05-21T08:40:00,0.1
2021-05-20T10:48:00,0.64,25.2,454,2021-05-21T08:56:00,0.13
2021-05-21T07:09:00,0.73,22.7,493,2021-05-21T13:23:00,0.51
2021-05-21T07:10:00,0.57,23.4,496,2021-05-21T13:17:00,0.43
2021-05-21T07:20:00,0.58,20.8,421,2021-05-21T13:31:00,0.48
2021-05-21T07:25:00,0.58,22.1,531,2021-05-21T14:25:00,0.38
2021-05-21T07:30:00,0.06,22.8,403,2021-05-21T13:06:00,0.01
2021-05-21T07:34:00,0.71,21.5,457,2021-05-21T13:43:00,0.63
2021-05-21T07:46:00,0.88,22.7,317,2021-05-21T13:52:00,0.31
2021-05-21T07:51:00,0.61,21.9,509,2021-05-21T14:37:00,0.12
2021-05-21T07:51:00,0.04,25.5,414,2021-05-21T13:10:00,0.03
2021-05-21T08:00:00,1.36,23.7,358,2021-05-21T14:05:00,0.98
2021-05-21T08:18:00,0.03,24.8,408,2021-05-21T13:21:00,0.01
2021-05-21T08:21:00,0.62,21.6,523,2021-05-21T14:40:00,0.23
2021-05-21T08:38:00,0.01,24.2,356,2021-05-21T13:40:00,0.01
