ts_datetime,ts_frc,ts_wattemp,ts_cond,hh_datetime,hh_frc
2019-07-27T02:57:00,0.32,28.1,395,2019-07-27T08:49:00,0.08
2019-07-27T03:24:00,0.11,28.7,346,2019-07-27T09:15:00,0.08
2019-07-27T03:37:00,0.31,28.8,350,2019-07-27T09:25:00,0.01
2019-07-27T03:49:00,0.31,28.6,342,2019-07-27T09:47:00,0.08
2019-07-27T08:31:00,0.52,27.7,305,2019-07-28T00:42:00,0.2
2019-07-27T08:47:00,0.52,27.5,305,2019-07-28T00:53:00,0.32
2019-07-27T09:07:00,0.52,27.6,308,2019-07-28T01:22:00,0.15
2019-07-27T09:12:00,0.58,27.6,297.82,2019-07-28T01:22:00,0.14
2019-07-27T09:21:00,0.52,27.7,306,2019-07-28T01:34:00,0.11
2019-07-27T09:26:00,0.52,27.4,297.82,2019-07-28T01:43:00,0.23
2019-07-27T09:33:00,0.78,27.4,306,2019-07-28T01:43:00,0.5
2019-07-27T09:44:00,0.55,27.6,297.82,2019-07-28T01:58:00,0.28
2019-07-27T09:53:00,0.55,27,297.82,2019-07-28T02:17:00,0.39
2019-07-27T10:12:00,0.54,27.3,297.82,2019-07-28T02:37:00,0.34
2019-07-28T03:02:00,1.06,27.2,357,2019-07-28T08:39:00,0.79
2019-07-28T03:24:00,1.43,27.3,349,2019-07-28T08:53:00,0.87
2019-07-28T03:41:00,1.3,27.4,347,2019-07-28T09:03:00,0.6
2019-07-28T03:56:00,1.68,27.3,349,2019-07-28T09:23:00,0.27
2019-07-28T04:23:00,1.22,27.2,349,2019-07-28T09:36:00,0.54
2019-07-28T09:10:00,1.28,27.2,297.82,2019-07-29T01:41:00,0.66
2019-07-28T09:20:00,0.78,27.5,331,2019-07-29T01:18:00,0.54
2019-07-28T09:34:00,1.28,27.2,297.82,2019-07-29T01:53:00,0.78
2019-07-28T09:41:00,1.26,27.7,304,2019-07-29T01:36:00,1.2
2019-07-28T09:46:00,1.2,27.6,297.82,2019-07-29T02:11:00,0.55
2019-07-28T09:59:00,1.44,27.7,305,2019-07-29T01:52:00,0.8
2019-07-28T10:04:00,1.23,27.3,297.82,2019-07-29T02:23:00,0.46
2019-07-28T10:10:00,1.09,27.3,303,2019-07-29T02:06:00,0.47
2019-07-28T10:18:00,1.19,27.4,297.82,2019-07-29T02:38:00,0.8
2019-07-28T10:22:00,0.96,27.2,305,2019-07-29T02:21:00,0.19
2019-07-29T02:29:00,0.37,28.2,349,2019-07-29T08:29:00,0.1
2019-07-29T02:49:00,0.36,27.9,352,2019-07-29T08:36:00,0.14
2019-07-29T03:00:00,0.3,28.2,350,2019-07-29T08:50:00,0.18
2019-07-29T03:22:00,0.23,28,350,2019-07-29T09:06:00,0.04
2019-07-29T03:34:00,0.53,28.5,349,2019-07-29T09:24:00,0.19
2019-07-29T09:10:00,0.52,27.8,309,2019-07-30T01:18:00,0.28
2019-07-29T09:17:00,1.99,28.1,297.82,2019-07-30T01:14:00,1.38
2019-07-29T09:23:00,0.6,27.6,310,2019-07-30T01:30:00,0.26
2019-07-29T09:31:00,1.95,28.1,297.82,2019-07-30T01:25:00,1.34
2019-07-29T09:38:00,0.6,27.9,304,2019-07-30T01:43:00,0.11
2019-07-29T09:47:00,2.04,27.6,297.82,2019-07-30T01:41:00,0.54
2019-07-29T09:53:00,0.55,27.7,309,2019-07-30T01:53:00,0.01
2019-07-29T10:07:00,1.76,27.6,297.82,2019-07-30T01:57:00,1.3
2019-07-29T10:15:00,0.66,27.9,309,2019-07-30T02:03:00,0.32
2019-07-29T10:18:00,1.87,27.4,297.82,2019-07-30T02:29:00,0.87
2019-07-30T03:01:00,0.05,27.5,471,2019-07-30T08:39:00,0.03
2019-07-30T04:01:00,0.1,28.3,474,2019-07-30T09:24:00,0.03
2019-07-30T09:16:00,0.54,27.3,297.82,2019-07-31T02:58:00,0.53
2019-07-30T09:44:00,3.46,27.2,319,2019-07-31T01:56:00,2.06
2019-07-30T09:58:00,2.69,27.6,322,2019-07-31T02:09:00,1.9
2019-07-30T10:03:00,0.75,27.2,297.82,2019-07-31T02:32:00,0.17
2019-07-30T10:14:00,2.63,27.4,321,2019-07-31T02:24:00,2.33
2019-07-30T10:20:00,0.86,27.4,297.82,2019-07-31T02:03:00,0.7
2019-07-30T10:24:00,2.51,27.3,319,2019-07-31T02:35:00,1.81
