ts_datetime,ts_frc,ts_wattemp,ts_cond,hh_datetime,hh_frc
2021-08-16T09:00:00,1,27.2,383,2021-08-16T11:06:00,0.5
2021-08-16T09:05:00,1,27,384,2021-08-16T11:29:00,0.5
2021-08-16T09:15:00,1,27.6,382,2021-08-16T11:50:00,0.4
2021-08-16T09:18:00,1,27.8,380,2021-08-16T12:18:00,0.2
2021-08-16T09:23:00,1,27.5,381,2021-08-16T12:30:00,0.3
2021-08-16T12:39:00,1,28.3,400,2021-08-16T14:30:00,0.8
2021-08-16T12:46:00,1,28.3,398,2021-08-16T14:51:00,0.4
2021-08-16T12:48:00,1,28.1,396,2021-08-16T15:12:00,0.6
2021-08-16T12:52:00,1,28.6,393,2021-08-16T15:23:00,0.4
2021-08-16T12:59:00,1,28.5,395,2021-08-16T15:28:00,0.4
2021-08-17T09:02:00,1,26.5,340,2021-08-17T11:14:00,0.6
2021-08-17T09:10:00,1,26.3,341,2021-08-17T11:38:00,0.4
2021-08-17T09:18:00,1,26.8,338,2021-08-17T12:05:00,0.2
2021-08-17T09:24:00,1,27,336,2021-08-17T12:17:00,0.3
2021-08-17T09:30:00,1,26.9,319,2021-08-17T12:30:00,0.2
2021-08-17T12:39:00,1,27.6,326,2021-08-17T14:42:00,0.3
2021-08-17T12:43:00,1,27.8,324,2021-08-17T15:02:00,0.3
2021-08-17T12:48:00,1,28.2,321,2021-08-17T15:27:00,0.2
2021-08-17T12:55:00,1,28,322,2021-08-17T15:47:00,0.2
2021-08-17T12:58:00,1,27.9,327,2021-08-17T15:52:00,0.2
2021-08-18T09:13:00,1,26.3,364,2021-08-18T11:10:00,0.6
2021-08-18T09:20:00,1,26.8,360,2021-08-18T11:40:00,0.4
2021-08-18T09:22:00,1,25.9,354,2021-08-18T12:10:00,0.3
2021-08-18T09:25:00,1,26.5,363,2021-08-18T12:20:00,0.2
2021-08-18T09:30:00,1,26.8,362,2021-08-18T12:30:00,0.1
2021-08-18T12:41:00,1,27.3,372,2021-08-18T14:36:00,0.5
2021-08-18T12:45:00,1,26.8,370,2021-08-18T14:57:00,0.3
2021-08-18T12:49:00,1,27,374,2021-08-18T15:15:00,0.3
2021-08-18T12:52:00,1,26.5,371,2021-08-18T15:31:00,0.1
2021-08-18T12:57:00,1,27.1,375,2021-08-18T15:52:00,0.1
2021-08-19T09:00:00,1,28,373,2021-08-19T11:05:00,0.5
2021-08-19T09:04:00,1,28.3,372,2021-08-19T11:34:00,0.4
2021-08-19T09:12:00,1,28.1,371,2021-08-19T11:50:00,0.2
2021-08-19T09:20:00,1,28.5,370,2021-08-19T12:12:00,0.2
2021-08-19T09:28:00,1,28.6,369,2021-08-19T12:22:00,0.2
2021-08-19T12:32:00,1,29,415,2021-08-19T14:39:00,0.4
2021-08-19T12:35:00,1,29.5,412,2021-08-19T14:51:00,0.5
2021-08-19T12:40:00,1,29.3,413,2021-08-19T15:10:00,0.3
2021-08-19T12:41:00,1,29.7,413,2021-08-19T15:33:00,0.1
2021-08-19T12:52:00,1,29.6,410,2021-08-19T15:50:00,0.2
2021-08-20T09:19:00,1,28,421,2021-08-20T11:02:00,0.6
2021-08-20T09:22:00,1,27.7,415,2021-08-20T11:14:00,0.7
2021-08-20T09:24:00,1,27.6,412,2021-08-20T11:45:00,0.2
2021-08-20T09:27:00,1,27.8,413,2021-08-20T12:10:00,0.3
2021-08-20T09:30:00,1,27.9,411,2021-08-20T12:19:00,0.4
2021-08-20T12:30:00,1,29.6,362,2021-08-20T14:47:00,0.8
2021-08-20T12:33:00,1,29.9,364,2021-08-20T15:10:00,0.6
2021-08-20T12:39:00,1,30.1,366,2021-08-20T15:22:00,0.2
2021-08-20T12:42:00,1,29.5,363,2021-08-20T15:25:00,0.3
2021-08-20T12:47:00,1,30.2,362,2021-08-20T15:38:00,0.2
2021-08-21T09:18:00,1,28.4,345,2021-08-21T11:10:00,0.7
2021-08-21T09:22:00,1,28.3,350,2021-08-21T11:37:00,0.6
2021-08-21T09:23:00,1,28.7,356,2021-08-21T12:00:00,0.5
2021-08-21T09:26:00,1,28.8,354,2021-08-21T12:18:00,0.2
2021-08-21T09:28:00,1,28.7,358,2021-08-21T12:25:00,0.2
2021-08-21T12:40:00,1,29.6,315,2021-08-21T14:36:00,0.5
2021-08-21T12:42:00,1,31.1,312,2021-08-21T14:52:00,0.6
2021-08-21T12:47:00,1,29.4,316,2021-08-21T15:08:00,0.2
2021-08-21T12:52:00,1,29.4,314,2021-08-21T15:24:00,0.3
2021-08-21T12:55:00,1,29.5,318,2021-08-21T15:28:00,0.2
2021-08-22T09:12:00,1,27.5,306,2021-08-22T11:10:00,0.7
2021-08-22T09:16:00,1,27.8,304,2021-08-22T11:15:00,0.6
2021-08-22T09:20:00,1,28,310,2021-08-22T11:40:00,0.3
2021-08-22T09:23:00,1,28.3,309,2021-08-22T12:01:00,0.4
2021-08-22T09:25:00,1,28.1,309,2021-08-22T12:23:00,0.2
2021-08-22T12:47:00,1,28.8,304,2021-08-22T14:40:00,0.8
2021-08-22T12:49:00,1,29.6,306,2021-08-22T14:59:00,0.6
2021-08-22T12:52:00,1,28.9,303,2021-08-22T15:14:00,0.5
2021-08-22T12:53:00,1,29.4,309,2021-08-22T15:22:00,0.4
2021-08-22T12:56:00,1,29.2,304,2021-08-22T15:30:00,0.1
2021-08-23T09:14:00,1,28.1,305,2021-08-23T11:02:00,0.4
2021-08-23T09:16:00,1,27.9,306,2021-08-23T11:38:00,0.7
2021-08-23T09:20:00,1,28.4,303,2021-08-23T12:05:00,0.5
2021-08-23T09:22:00,1,28.6,309,2021-08-23T12:16:00,0.3
2021-08-23T09:30:00,1,28.9,305,2021-08-23T12:30:00,0.2
2021-08-23T12:39:00,1,30.2,318,2021-08-23T14:37:00,0.8
2021-08-23T12:43:00,1,30.6,319,2021-08-23T14:42:00,0.5
2021-08-23T12:43:00,1,31.2,320,2021-08-23T15:10:00,0.6
2021-08-23T12:45:00,1,30.5,318,2021-08-23T15:35:00,0.2
2021-08-23T12:50:00,1,30.8,316,2021-08-23T15:53:00,0.1
2021-08-24T09:03:00,1,29.6,310,2021-08-24T11:20:00,0.5
2021-08-24T09:07:00,1,29.7,314,2021-08-24T11:25:00,0.7
2021-08-24T09:10:00,1,29.6,311,2021-08-24T11:40:00,0.5
2021-08-24T09:17:00,1,29.3,314,2021-08-24T12:09:00,0.2
2021-08-24T09:21:00,1,29.9,318,2021-08-24T12:18:00,0.2
2021-08-24T12:36:00,1,30.8,300,2021-08-24T14:40:00,0.8
2021-08-24T12:40:00,1,30.6,307,2021-08-24T15:00:00,0.4
2021-08-24T12:49:00,1,30.7,303,2021-08-24T15:18:00,0.5
2021-08-24T12:53:00,1,31.2,301,2021-08-24T15:30:00,0.2
2021-08-24T12:55:00,1,30.9,305,2021-08-24T15:42:00,0.3
2021-08-25T09:18:00,1,30.2,299,2021-08-25T11:03:00,0.8
2021-08-25T09:20:00,1,30.6,301,2021-08-25T11:28:00,0.7
2021-08-25T09:22:00,1,30.8,303,2021-08-25T11:50:00,0.8
2021-08-25T09:25:00,1,30.8,302,2021-08-25T12:13:00,0.3
2021-08-25T09:30:00,1,30.4,298,2021-08-25T12:16:00,0.3
2021-08-25T12:34:00,1,30.7,293,2021-08-25T14:32:00,0.6
2021-08-25T12:40:00,1,32.2,290,2021-08-25T14:46:00,0.7
2021-08-25T12:45:00,1,30.9,289,2021-08-25T15:02:00,0.6
2021-08-25T12:50:00,1,31,286,2021-08-25T15:10:00,0.3
2021-08-25T12:56:00,1,31.1,286,2021-08-25T15:25:00,0.2
2021-08-26T09:13:00,1,27.3,291,2021-08-26T11:20:00,0.5
2021-08-26T09:16:00,1,27,290,2021-08-26T11:35:00,0.3
2021-08-26T09:22:00,1,27.4,289,2021-08-26T11:51:00,0.3
2021-08-26T09:24:00,1,27.5,288,2021-08-26T12:11:00,0.2
2021-08-26T09:29:00,1,27.2,292,2021-08-26T12:19:00,0.2
2021-08-26T12:42:00,1,26.4,282,2021-08-26T14:52:00,0.6
2021-08-26T12:45:00,1,26.6,280,2021-08-26T14:59:00,0.4
2021-08-26T12:48:00,1,26.4,280,2021-08-26T15:06:00,0.2
